Gandalf Index,Maximum Similarity,Closest Training Index
2793,0.2725131712446801,4354
8013,0.18276919270879954,4590
6341,0.16822512635337872,9277
7552,0.19526354546610702,729
12405,0.16727308188152124,2142
10526,0.3798975844071364,8480
15509,0.19705196001243075,3216
15278,0.1649902687518644,14743
8869,0.17730795208188543,1030
8047,0.15772363428412883,2399
7668,0.12188892268813323,9450
1268,0.18015781651657292,470
9321,0.1759888358504068,11257
5743,0.15085585467607032,6767
1782,0.15939850938118205,4848
2129,0.14417012505080895,1297
7489,0.16982768526097813,776
8158,0.14695073609299591,10089
4427,0.16665569717368034,7301
14763,0.18390408909568012,3606
14134,0.14415169323537547,9453
9478,0.22353714031968208,5812
9777,0.19540235731068223,15097
6996,0.138126983565654,12212
237,0.4467890323276038,11073
14882,0.2909756907340373,3584
9714,0.12631583287898884,12171
10544,0.17203939072114594,4195
